"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","274487000","N/A","1650000"
"1 - White, Not Hispanic","Overall","0.622","0.0036","0.615","0.629","1","0","N/A","N/A","0.622","0.0036","0.615","0.629","170683000","N/A","1484000"
"2 - Black, Not Hispanic","Overall","0.121","0.0024","0.116","0.125","1","0","N/A","N/A","0.121","0.0024","0.116","0.125","33099000","N/A","665000"
"3 - Other or Multiple, Not Hispanic","Overall","0.086","0.002","0.082","0.09","1","0","N/A","N/A","0.086","0.002","0.082","0.09","23657000","N/A","583000"
"4 - Hispanic","Overall","0.171","0.0026","0.166","0.177","1","0","N/A","N/A","0.171","0.0026","0.166","0.177","47049000","N/A","737000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","585000","N/A","20000"
"1 - White, Not Hispanic","AK","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.625","0.0206","0.584","0.665","365000","N/A","16000"
"2 - Black, Not Hispanic","AK","0","0","0","0","0.001","0.0001","0","0.001","0.03","0.0053","0.021","0.042","18000","N/A","3000"
"3 - Other or Multiple, Not Hispanic","AK","0.001","0","0.001","0.001","0.007","0.0006","0.006","0.008","0.28","0.0191","0.244","0.319","164000","N/A","14000"
"4 - Hispanic","AK","0","0","0","0","0.001","0.0001","0.001","0.001","0.065","0.008","0.051","0.082","38000","N/A","5000"
"Overall","AL","0.015","0.0007","0.014","0.016","0.015","0.0007","0.014","0.016","1","0","N/A","N/A","4101000","N/A","183000"
"1 - White, Not Hispanic","AL","0.01","0.0007","0.009","0.012","0.016","0.0012","0.014","0.019","0.67","0.027","0.615","0.721","2749000","N/A","199000"
"2 - Black, Not Hispanic","AL","0.004","0.0004","0.003","0.005","0.032","0.003","0.027","0.038","0.259","0.0266","0.21","0.315","1063000","N/A","99000"
"3 - Other or Multiple, Not Hispanic","AL","0","0.0001","0","0.001","0.006","0.0012","0.004","0.009","0.033","0.0069","0.022","0.049","134000","N/A","29000"
"4 - Hispanic","AL","0.001","0.0001","0","0.001","0.003","0.0008","0.002","0.005","0.038","0.0093","0.023","0.061","155000","N/A","38000"
"Overall","AR","0.009","0.0003","0.008","0.01","0.009","0.0003","0.008","0.01","1","0","N/A","N/A","2499000","N/A","93000"
"1 - White, Not Hispanic","AR","0.007","0.0003","0.006","0.007","0.011","0.0005","0.01","0.012","0.739","0.0217","0.694","0.779","1847000","N/A","92000"
"2 - Black, Not Hispanic","AR","0.001","0.0002","0.001","0.002","0.011","0.0015","0.009","0.015","0.148","0.0192","0.114","0.19","370000","N/A","50000"
"3 - Other or Multiple, Not Hispanic","AR","0","0.0001","0","0.001","0.005","0.0006","0.003","0.006","0.044","0.0058","0.034","0.056","109000","N/A","15000"
"4 - Hispanic","AR","0.001","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.069","0.0109","0.051","0.094","173000","N/A","26000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6042000","N/A","425000"
"1 - White, Not Hispanic","AZ","0.013","0.0012","0.01","0.015","0.02","0.002","0.017","0.025","0.573","0.0306","0.512","0.632","3462000","N/A","342000"
"2 - Black, Not Hispanic","AZ","0.001","0.0002","0.001","0.001","0.008","0.0015","0.005","0.011","0.043","0.0078","0.03","0.061","260000","N/A","50000"
"3 - Other or Multiple, Not Hispanic","AZ","0.002","0.0004","0.001","0.003","0.023","0.0042","0.016","0.033","0.091","0.0146","0.066","0.124","548000","N/A","101000"
"4 - Hispanic","AZ","0.006","0.0005","0.005","0.008","0.038","0.0031","0.032","0.044","0.293","0.0241","0.248","0.343","1773000","N/A","149000"
"Overall","CA","0.121","0.0023","0.116","0.125","0.121","0.0023","0.116","0.125","1","0","N/A","N/A","33110000","N/A","679000"
"1 - White, Not Hispanic","CA","0.047","0.002","0.043","0.051","0.075","0.0031","0.069","0.081","0.386","0.0129","0.361","0.411","12767000","N/A","552000"
"2 - Black, Not Hispanic","CA","0.007","0.0006","0.006","0.008","0.055","0.0047","0.047","0.065","0.055","0.0049","0.046","0.066","1827000","N/A","163000"
"3 - Other or Multiple, Not Hispanic","CA","0.023","0.0014","0.02","0.026","0.262","0.0135","0.236","0.289","0.187","0.0109","0.167","0.209","6194000","N/A","401000"
"4 - Hispanic","CA","0.045","0.0014","0.042","0.048","0.262","0.007","0.248","0.276","0.372","0.0119","0.349","0.396","12323000","N/A","387000"
