"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","282732000","N/A","2772000"
"1 - Employed full time","Overall","0.425","0.0026","0.42","0.43","1","0","N/A","N/A","0.425","0.0026","0.42","0.43","120226000","N/A","1392000"
"2 - Employed part time","Overall","0.127","0.0017","0.123","0.13","1","0","N/A","N/A","0.127","0.0017","0.123","0.13","35771000","N/A","591000"
"3 - Unemployed","Overall","0.045","0.0011","0.043","0.047","1","0","N/A","N/A","0.045","0.0011","0.043","0.047","12696000","N/A","319000"
"4 - Other","Overall","0.358","0.0027","0.353","0.363","1","0","N/A","N/A","0.358","0.0027","0.353","0.363","101295000","N/A","1259000"
"99 - 12-14 year olds","Overall","0.045","0.0007","0.044","0.046","1","0","N/A","N/A","0.045","0.0007","0.044","0.046","12745000","N/A","225000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","587000","N/A","47000"
"1 - Employed full time","AK","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.418","0.0193","0.38","0.456","245000","N/A","21000"
"2 - Employed part time","AK","0","0","0","0","0.002","0.0003","0.002","0.003","0.147","0.0134","0.123","0.175","86000","N/A","10000"
"3 - Unemployed","AK","0","0","0","0","0.003","0.0004","0.002","0.004","0.058","0.0084","0.043","0.077","34000","N/A","5000"
"4 - Other","AK","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.33","0.0181","0.296","0.367","194000","N/A","21000"
"99 - 12-14 year olds","AK","0","0","0","0","0.002","0.0003","0.002","0.003","0.047","0.0061","0.037","0.061","28000","N/A","4000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4288000","N/A","223000"
"1 - Employed full time","AL","0.006","0.0004","0.005","0.007","0.014","0.001","0.012","0.016","0.39","0.0179","0.355","0.425","1671000","N/A","121000"
"2 - Employed part time","AL","0.002","0.0002","0.001","0.002","0.012","0.0013","0.01","0.015","0.1","0.0094","0.082","0.12","427000","N/A","46000"
