"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","282732000","N/A","2772000"
"1 - Yes","Overall","0.205","0.0027","0.199","0.21","1","0","N/A","N/A","0.205","0.0027","0.199","0.21","57857000","N/A","950000"
"2 - No","Overall","0.764","0.0028","0.759","0.77","1","0","N/A","N/A","0.764","0.0028","0.759","0.77","216134000","N/A","2322000"
"85 - BAD DATA Logically assigned","Overall","0.002","0.0003","0.001","0.002","1","0","N/A","N/A","0.002","0.0003","0.001","0.002","462000","N/A","74000"
"94 - DON T KNOW","Overall","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","0.004","0.0003","0.004","0.005","1208000","N/A","82000"
"97 - REFUSED","Overall","0.001","0.0001","0.001","0.001","1","0","N/A","N/A","0.001","0.0001","0.001","0.001","254000","N/A","42000"
"98 - BLANK","Overall","0.024","0.0008","0.023","0.026","1","0","N/A","N/A","0.024","0.0008","0.023","0.026","6818000","N/A","232000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","587000","N/A","47000"
"1 - Yes","AK","0","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.235","0.0201","0.198","0.276","138000","N/A","16000"
"2 - No","AK","0.002","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.724","0.0185","0.686","0.759","425000","N/A","36000"
"85 - BAD DATA Logically assigned","AK","0","0","0","0","0.001","0.0005","0","0.003","0.001","0.0004","0","0.002","0","N/A","0"
"94 - DON T KNOW","AK","0","0","0","0","0.003","0.0011","0.002","0.006","0.006","0.002","0.003","0.012","4000","N/A","1000"
"97 - REFUSED","AK","0","0","0","0","0.005","0.0028","0.001","0.015","0.002","0.0011","0.001","0.006","1000","N/A","1000"
"98 - BLANK","AK","0","0","0","0","0.003","0.0006","0.002","0.004","0.033","0.0078","0.02","0.052","19000","N/A","4000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4288000","N/A","223000"
"1 - Yes","AL","0.003","0.0002","0.002","0.003","0.014","0.0011","0.012","0.016","0.188","0.014","0.162","0.217","807000","N/A","64000"
"2 - No","AL","0.012","0.0007","0.011","0.014","0.016","0.0009","0.014","0.018","0.797","0.0142","0.768","0.823","3416000","N/A","204000"
"85 - BAD DATA Logically assigned","AL","0","0","0","0","0.006","0.0039","0.001","0.022","0.001","0.0004","0","0.002","3000","N/A","2000"
"94 - DON T KNOW","AL","0","0","0","0","0.005","0.0026","0.002","0.014","0.001","0.0007","0","0.004","6000","N/A","3000"
"97 - REFUSED","AL","0","0","0","0","0.012","0.0093","0.003","0.054","0.001","0.0005","0","0.003","3000","N/A","2000"
"98 - BLANK","AL","0","0","0","0","0.008","0.002","0.005","0.013","0.012","0.0033","0.007","0.021","53000","N/A","14000"
