"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - Unemployed","CA","0.007","0.0006","0.006","0.008","0.138","0.0111","0.117","0.161","0.056","0.0045","0.048","0.066","1862000","N/A","168000"
"4 - Other","CA","0.044","0.002","0.041","0.049","0.122","0.0054","0.112","0.133","0.377","0.0104","0.357","0.398","12499000","N/A","609000"
"99 - 12-14 year olds","CA","0.005","0.0004","0.005","0.006","0.114","0.0083","0.099","0.132","0.045","0.003","0.04","0.051","1492000","N/A","119000"
"Overall","CO","0.018","0.0014","0.015","0.021","0.018","0.0014","0.015","0.021","1","0","N/A","N/A","4950000","N/A","388000"
"1 - Employed full time","CO","0.008","0.0007","0.007","0.01","0.019","0.0017","0.016","0.023","0.456","0.022","0.413","0.499","2257000","N/A","198000"
"2 - Employed part time","CO","0.003","0.0003","0.002","0.004","0.022","0.0028","0.017","0.028","0.156","0.016","0.127","0.19","770000","N/A","98000"
"3 - Unemployed","CO","0.001","0.0001","0.001","0.001","0.015","0.0027","0.011","0.022","0.042","0.0076","0.029","0.059","205000","N/A","37000"
"4 - Other","CO","0.005","0.0006","0.004","0.007","0.015","0.0017","0.012","0.019","0.306","0.0213","0.266","0.35","1517000","N/A","175000"
"99 - 12-14 year olds","CO","0.001","0.0001","0.001","0.001","0.015","0.0023","0.011","0.021","0.041","0.005","0.032","0.052","201000","N/A","30000"
"Overall","CT","0.011","0.0008","0.01","0.013","0.011","0.0008","0.01","0.013","1","0","N/A","N/A","3116000","N/A","235000"
"1 - Employed full time","CT","0.005","0.0005","0.004","0.006","0.012","0.0012","0.01","0.014","0.446","0.0232","0.401","0.492","1389000","N/A","135000"
"2 - Employed part time","CT","0.002","0.0002","0.001","0.002","0.012","0.0015","0.01","0.016","0.139","0.0154","0.112","0.172","433000","N/A","54000"
"3 - Unemployed","CT","0.001","0.0001","0","0.001","0.011","0.0021","0.008","0.016","0.05","0.0083","0.036","0.069","155000","N/A","28000"
"4 - Other","CT","0.004","0.0004","0.003","0.004","0.01","0.0011","0.008","0.012","0.324","0.025","0.277","0.374","1008000","N/A","111000"
"99 - 12-14 year olds","CT","0","0.0001","0","0.001","0.01","0.0016","0.007","0.014","0.042","0.0066","0.031","0.057","130000","N/A","21000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","572000","N/A","35000"
"1 - Employed full time","DC","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.52","0.0236","0.474","0.566","297000","N/A","26000"
"2 - Employed part time","DC","0","0","0","0","0.002","0.0002","0.001","0.002","0.107","0.0119","0.085","0.132","61000","N/A","7000"
"3 - Unemployed","DC","0","0","0","0","0.003","0.0004","0.002","0.003","0.06","0.0076","0.047","0.077","34000","N/A","5000"
"4 - Other","DC","0.001","0","0","0.001","0.002","0.0001","0.001","0.002","0.279","0.0197","0.242","0.319","159000","N/A","13000"
"99 - 12-14 year olds","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.034","0.0046","0.026","0.044","20000","N/A","3000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","863000","N/A","53000"
"1 - Employed full time","DE","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.004","0.419","0.0185","0.384","0.456","362000","N/A","27000"
"2 - Employed part time","DE","0","0","0","0","0.003","0.0004","0.002","0.004","0.124","0.012","0.102","0.149","107000","N/A","13000"
"3 - Unemployed","DE","0","0","0","0","0.003","0.0006","0.002","0.005","0.05","0.0083","0.036","0.069","43000","N/A","8000"
"4 - Other","DE","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.004","0.364","0.0183","0.329","0.4","314000","N/A","23000"
"99 - 12-14 year olds","DE","0","0","0","0","0.003","0.0004","0.002","0.004","0.043","0.0049","0.034","0.053","37000","N/A","5000"
"Overall","FL","0.067","0.0028","0.062","0.073","0.067","0.0028","0.062","0.073","1","0","N/A","N/A","18944000","N/A","822000"
"1 - Employed full time","FL","0.026","0.0012","0.024","0.029","0.064","0.003","0.058","0.07","0.393","0.0128","0.368","0.418","7441000","N/A","359000"
"2 - Employed part time","FL","0.008","0.0006","0.007","0.009","0.064","0.0043","0.056","0.073","0.117","0.007","0.104","0.132","2222000","N/A","159000"
"3 - Unemployed","FL","0.003","0.0004","0.003","0.004","0.073","0.0088","0.057","0.092","0.052","0.0058","0.042","0.064","983000","N/A","124000"
"4 - Other","FL","0.027","0.0015","0.024","0.03","0.074","0.0041","0.066","0.082","0.399","0.0124","0.375","0.424","7559000","N/A","442000"
"99 - 12-14 year olds","FL","0.003","0.0002","0.002","0.003","0.057","0.0036","0.05","0.064","0.039","0.0023","0.035","0.044","739000","N/A","48000"
"Overall","GA","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9064000","N/A","548000"
"1 - Employed full time","GA","0.014","0.0009","0.012","0.016","0.033","0.0021","0.029","0.038","0.427","0.016","0.396","0.458","3869000","N/A","255000"
"2 - Employed part time","GA","0.003","0.0004","0.003","0.004","0.028","0.0032","0.023","0.035","0.108","0.0107","0.089","0.131","982000","N/A","114000"
"3 - Unemployed","GA","0.002","0.0003","0.001","0.002","0.034","0.0058","0.024","0.048","0.051","0.0078","0.038","0.069","463000","N/A","80000"
"4 - Other","GA","0.012","0.0009","0.01","0.013","0.032","0.0024","0.027","0.037","0.36","0.0139","0.334","0.388","3267000","N/A","249000"
"99 - 12-14 year olds","GA","0.002","0.0001","0.001","0.002","0.037","0.003","0.031","0.043","0.053","0.0036","0.047","0.061","483000","N/A","40000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1186000","N/A","91000"
"1 - Employed full time","HI","0.002","0.0001","0.001","0.002","0.004","0.0003","0.004","0.005","0.41","0.0216","0.368","0.453","486000","N/A","38000"
"2 - Employed part time","HI","0.001","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.123","0.0115","0.102","0.147","145000","N/A","19000"
"3 - Unemployed","HI","0","0","0","0","0.004","0.0008","0.003","0.006","0.045","0.0081","0.031","0.064","53000","N/A","11000"
"4 - Other","HI","0.002","0.0002","0.001","0.002","0.004","0.0005","0.004","0.005","0.381","0.0235","0.336","0.428","452000","N/A","48000"
"99 - 12-14 year olds","HI","0","0","0","0","0.004","0.0006","0.003","0.005","0.042","0.0054","0.033","0.054","50000","N/A","8000"
"Overall","IA","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2687000","N/A","146000"
"1 - Employed full time","IA","0.004","0.0003","0.004","0.005","0.01","0.0006","0.009","0.012","0.451","0.0235","0.406","0.498","1213000","N/A","76000"
"2 - Employed part time","IA","0.001","0.0002","0.001","0.002","0.01","0.0014","0.008","0.014","0.135","0.0164","0.106","0.171","364000","N/A","50000"
"3 - Unemployed","IA","0","0.0001","0","0.001","0.007","0.0017","0.005","0.012","0.037","0.0082","0.024","0.057","99000","N/A","23000"
"4 - Other","IA","0.003","0.0003","0.003","0.004","0.009","0.0009","0.007","0.011","0.329","0.0252","0.281","0.38","884000","N/A","93000"
"99 - 12-14 year olds","IA","0","0.0001","0","0.001","0.01","0.0012","0.008","0.012","0.047","0.0057","0.037","0.06","127000","N/A","16000"
"Overall","ID","0.006","0.0005","0.005","0.007","0.006","0.0005","0.005","0.007","1","0","N/A","N/A","1602000","N/A","153000"
"1 - Employed full time","ID","0.002","0.0003","0.002","0.003","0.006","0.0006","0.005","0.007","0.417","0.0208","0.376","0.458","667000","N/A","73000"
"2 - Employed part time","ID","0.001","0.0001","0.001","0.001","0.007","0.0009","0.005","0.009","0.143","0.0172","0.112","0.18","229000","N/A","33000"
"3 - Unemployed","ID","0","0","0","0","0.003","0.0009","0.002","0.006","0.029","0.0068","0.018","0.046","46000","N/A","12000"
"4 - Other","ID","0.002","0.0002","0.002","0.003","0.006","0.0007","0.004","0.007","0.352","0.0225","0.31","0.398","565000","N/A","68000"
"99 - 12-14 year olds","ID","0","0","0","0","0.007","0.0009","0.006","0.009","0.059","0.0059","0.049","0.072","95000","N/A","12000"
"Overall","IL","0.038","0.002","0.034","0.042","0.038","0.002","0.034","0.042","1","0","N/A","N/A","10700000","N/A","591000"
"1 - Employed full time","IL","0.017","0.001","0.015","0.019","0.04","0.0024","0.035","0.045","0.436","0.0163","0.405","0.469","4670000","N/A","293000"
"2 - Employed part time","IL","0.005","0.0005","0.004","0.006","0.042","0.0038","0.035","0.05","0.135","0.0091","0.118","0.154","1447000","N/A","137000"
"3 - Unemployed","IL","0.002","0.0003","0.001","0.003","0.041","0.0057","0.031","0.054","0.052","0.0066","0.04","0.066","556000","N/A","80000"
"4 - Other","IL","0.013","0.0009","0.011","0.014","0.034","0.0025","0.03","0.04","0.33","0.016","0.3","0.362","3535000","N/A","258000"
"99 - 12-14 year olds","IL","0.002","0.0002","0.001","0.002","0.038","0.0038","0.031","0.046","0.046","0.0041","0.039","0.055","492000","N/A","50000"
"Overall","IN","0.02","0.0015","0.018","0.023","0.02","0.0015","0.018","0.023","1","0","N/A","N/A","5711000","N/A","414000"
"1 - Employed full time","IN","0.009","0.0007","0.008","0.01","0.021","0.0017","0.018","0.025","0.438","0.0185","0.402","0.474","2500000","N/A","196000"
"2 - Employed part time","IN","0.003","0.0003","0.002","0.003","0.02","0.0025","0.016","0.026","0.124","0.0121","0.102","0.149","705000","N/A","86000"
"3 - Unemployed","IN","0.001","0.0001","0.001","0.001","0.016","0.0029","0.011","0.023","0.038","0.0062","0.027","0.052","215000","N/A","40000"
"4 - Other","IN","0.007","0.0007","0.006","0.009","0.02","0.0018","0.016","0.023","0.352","0.0189","0.316","0.39","2011000","N/A","187000"
"99 - 12-14 year olds","IN","0.001","0.0002","0.001","0.001","0.021","0.0034","0.016","0.029","0.049","0.0067","0.037","0.064","279000","N/A","46000"
"Overall","KS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2428000","N/A","144000"
"1 - Employed full time","KS","0.004","0.0003","0.003","0.004","0.009","0.0007","0.008","0.011","0.449","0.0171","0.416","0.483","1091000","N/A","80000"
"2 - Employed part time","KS","0.001","0.0001","0.001","0.001","0.008","0.0011","0.007","0.011","0.122","0.0121","0.1","0.147","295000","N/A","37000"
"3 - Unemployed","KS","0","0.0001","0","0","0.006","0.0013","0.004","0.009","0.034","0.0067","0.023","0.05","82000","N/A","17000"
"4 - Other","KS","0.003","0.0002","0.003","0.003","0.008","0.0006","0.007","0.009","0.34","0.0183","0.305","0.377","825000","N/A","59000"
"99 - 12-14 year olds","KS","0","0.0001","0","0.001","0.01","0.0014","0.008","0.013","0.055","0.0068","0.043","0.07","134000","N/A","18000"
"Overall","KY","0.013","0.0009","0.012","0.015","0.013","0.0009","0.012","0.015","1","0","N/A","N/A","3775000","N/A","253000"
"1 - Employed full time","KY","0.005","0.0004","0.005","0.006","0.013","0.0009","0.011","0.015","0.397","0.0188","0.361","0.435","1500000","N/A","106000"
"2 - Employed part time","KY","0.002","0.0002","0.001","0.002","0.012","0.0013","0.01","0.015","0.113","0.0094","0.096","0.133","427000","N/A","44000"
"3 - Unemployed","KY","0","0.0001","0","0.001","0.009","0.0015","0.007","0.013","0.033","0.0057","0.023","0.046","123000","N/A","20000"
"4 - Other","KY","0.005","0.0005","0.004","0.007","0.015","0.0015","0.012","0.018","0.406","0.0218","0.364","0.449","1531000","N/A","151000"
"99 - 12-14 year olds","KY","0.001","0.0001","0.001","0.001","0.015","0.0019","0.011","0.019","0.051","0.0052","0.042","0.063","194000","N/A","25000"
"Overall","LA","0.014","0.0012","0.011","0.016","0.014","0.0012","0.011","0.016","1","0","N/A","N/A","3815000","N/A","333000"
"1 - Employed full time","LA","0.005","0.0004","0.004","0.005","0.011","0.0009","0.01","0.013","0.346","0.0214","0.306","0.39","1321000","N/A","102000"
"2 - Employed part time","LA","0.002","0.0002","0.001","0.002","0.015","0.002","0.011","0.019","0.133","0.013","0.11","0.161","508000","N/A","70000"
"3 - Unemployed","LA","0.001","0.0002","0.001","0.001","0.017","0.0033","0.012","0.025","0.061","0.0096","0.045","0.083","234000","N/A","45000"
"4 - Other","LA","0.006","0.0007","0.004","0.007","0.015","0.0018","0.012","0.019","0.413","0.0223","0.37","0.457","1574000","N/A","186000"
"99 - 12-14 year olds","LA","0.001","0.0001","0","0.001","0.014","0.0018","0.01","0.018","0.047","0.0049","0.038","0.057","178000","N/A","24000"
"Overall","MA","0.022","0.0014","0.019","0.025","0.022","0.0014","0.019","0.025","1","0","N/A","N/A","6059000","N/A","401000"
"1 - Employed full time","MA","0.009","0.0008","0.008","0.011","0.022","0.0019","0.019","0.026","0.431","0.0207","0.391","0.472","2611000","N/A","220000"
"2 - Employed part time","MA","0.003","0.0004","0.003","0.004","0.026","0.0029","0.021","0.033","0.152","0.0146","0.125","0.183","921000","N/A","103000"
"3 - Unemployed","MA","0.001","0.0002","0.001","0.002","0.023","0.004","0.016","0.032","0.051","0.0086","0.037","0.071","309000","N/A","55000"
"4 - Other","MA","0.007","0.0007","0.006","0.009","0.019","0.002","0.016","0.024","0.33","0.025","0.283","0.381","1999000","N/A","202000"
"99 - 12-14 year olds","MA","0.001","0.0001","0.001","0.001","0.017","0.0028","0.012","0.023","0.036","0.0055","0.027","0.049","219000","N/A","37000"
"Overall","MD","0.018","0.001","0.017","0.021","0.018","0.001","0.017","0.021","1","0","N/A","N/A","5196000","N/A","293000"
"1 - Employed full time","MD","0.008","0.0005","0.007","0.009","0.02","0.0013","0.018","0.023","0.451","0.0172","0.418","0.485","2343000","N/A","153000"
"2 - Employed part time","MD","0.002","0.0003","0.002","0.003","0.018","0.0021","0.015","0.023","0.122","0.0121","0.1","0.148","633000","N/A","73000"
"3 - Unemployed","MD","0.001","0.0001","0.001","0.001","0.018","0.0027","0.014","0.024","0.047","0.0063","0.036","0.061","245000","N/A","36000"
"4 - Other","MD","0.006","0.0005","0.005","0.007","0.017","0.0013","0.014","0.019","0.327","0.0165","0.296","0.36","1700000","N/A","133000"
"99 - 12-14 year olds","MD","0.001","0.0001","0.001","0.001","0.021","0.0022","0.017","0.026","0.053","0.0047","0.044","0.063","274000","N/A","29000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1207000","N/A","111000"
"1 - Employed full time","ME","0.002","0.0002","0.002","0.002","0.005","0.0005","0.004","0.006","0.438","0.0233","0.393","0.484","528000","N/A","58000"
"2 - Employed part time","ME","0.001","0.0001","0","0.001","0.004","0.0006","0.003","0.006","0.124","0.0134","0.1","0.152","149000","N/A","22000"
"3 - Unemployed","ME","0","0","0","0","0.003","0.0007","0.002","0.004","0.029","0.0071","0.018","0.047","35000","N/A","9000"
"4 - Other","ME","0.002","0.0002","0.001","0.002","0.004","0.0005","0.004","0.005","0.369","0.0217","0.327","0.413","445000","N/A","46000"
"99 - 12-14 year olds","ME","0","0","0","0","0.004","0.0005","0.003","0.005","0.041","0.0054","0.031","0.053","49000","N/A","7000"
"Overall","MI","0.031","0.0014","0.028","0.033","0.031","0.0014","0.028","0.033","1","0","N/A","N/A","8578000","N/A","398000"
"1 - Employed full time","MI","0.012","0.0006","0.01","0.013","0.028","0.0015","0.025","0.031","0.378","0.0113","0.356","0.4","3240000","N/A","169000"
"2 - Employed part time","MI","0.005","0.0003","0.004","0.005","0.037","0.0025","0.032","0.042","0.15","0.0077","0.135","0.166","1285000","N/A","86000"
"3 - Unemployed","MI","0.001","0.0002","0.001","0.002","0.031","0.0037","0.024","0.039","0.048","0.0049","0.04","0.059","414000","N/A","51000"
"4 - Other","MI","0.012","0.0007","0.01","0.013","0.032","0.0018","0.028","0.035","0.379","0.0113","0.357","0.401","3247000","N/A","186000"
"99 - 12-14 year olds","MI","0.001","0.0001","0.001","0.002","0.03","0.0023","0.026","0.035","0.046","0.0031","0.04","0.052","392000","N/A","30000"
"Overall","MN","0.017","0.0012","0.015","0.02","0.017","0.0012","0.015","0.02","1","0","N/A","N/A","4815000","N/A","330000"
"1 - Employed full time","MN","0.007","0.0007","0.006","0.009","0.018","0.0016","0.015","0.021","0.436","0.0243","0.389","0.484","2097000","N/A","184000"
"2 - Employed part time","MN","0.003","0.0003","0.002","0.003","0.021","0.0025","0.016","0.026","0.149","0.0158","0.121","0.183","717000","N/A","89000"
"3 - Unemployed","MN","0.001","0.0001","0","0.001","0.013","0.003","0.008","0.02","0.036","0.0084","0.022","0.056","172000","N/A","41000"
"4 - Other","MN","0.006","0.0006","0.005","0.007","0.015","0.0017","0.013","0.019","0.33","0.0271","0.279","0.385","1590000","N/A","173000"
"99 - 12-14 year olds","MN","0.001","0.0001","0.001","0.001","0.018","0.0031","0.013","0.026","0.05","0.0074","0.037","0.066","239000","N/A","41000"
"Overall","MO","0.018","0.0018","0.015","0.022","0.018","0.0018","0.015","0.022","1","0","N/A","N/A","5193000","N/A","521000"
"1 - Employed full time","MO","0.008","0.0007","0.006","0.009","0.018","0.0018","0.015","0.022","0.414","0.0229","0.37","0.459","2149000","N/A","213000"
"2 - Employed part time","MO","0.003","0.0004","0.002","0.003","0.021","0.0028","0.016","0.027","0.141","0.0118","0.119","0.165","731000","N/A","100000"
"3 - Unemployed","MO","0.001","0.0002","0.001","0.001","0.017","0.004","0.011","0.027","0.044","0.0096","0.028","0.067","227000","N/A","54000"
"4 - Other","MO","0.007","0.0008","0.005","0.008","0.018","0.0021","0.014","0.023","0.353","0.0171","0.32","0.388","1834000","N/A","221000"
"99 - 12-14 year olds","MO","0.001","0.0002","0.001","0.001","0.019","0.0041","0.013","0.029","0.048","0.0081","0.035","0.067","251000","N/A","55000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2447000","N/A","153000"
"1 - Employed full time","MS","0.003","0.0003","0.003","0.004","0.007","0.0006","0.006","0.009","0.356","0.0212","0.316","0.399","872000","N/A","72000"
"2 - Employed part time","MS","0.001","0.0001","0.001","0.001","0.006","0.001","0.005","0.009","0.092","0.0107","0.073","0.115","224000","N/A","33000"
"3 - Unemployed","MS","0.001","0.0001","0.001","0.001","0.014","0.0019","0.01","0.018","0.075","0.01","0.058","0.097","184000","N/A","25000"
"4 - Other","MS","0.004","0.0003","0.003","0.004","0.01","0.0008","0.009","0.012","0.427","0.0219","0.385","0.471","1046000","N/A","86000"
"99 - 12-14 year olds","MS","0","0","0","0.001","0.009","0.0009","0.008","0.011","0.05","0.0045","0.041","0.059","121000","N/A","12000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","948000","N/A","91000"
"1 - Employed full time","MT","0.001","0.0001","0.001","0.002","0.003","0.0003","0.003","0.004","0.394","0.023","0.35","0.44","373000","N/A","41000"
"2 - Employed part time","MT","0.001","0.0001","0","0.001","0.005","0.0006","0.004","0.006","0.174","0.0166","0.144","0.209","165000","N/A","21000"
"3 - Unemployed","MT","0","0","0","0","0.002","0.0006","0.001","0.004","0.032","0.0083","0.019","0.053","30000","N/A","8000"
"4 - Other","MT","0.001","0.0001","0.001","0.002","0.003","0.0004","0.003","0.004","0.354","0.0236","0.309","0.401","335000","N/A","42000"
"99 - 12-14 year olds","MT","0","0","0","0","0.003","0.0008","0.002","0.005","0.047","0.0091","0.032","0.068","44000","N/A","10000"
"Overall","NC","0.032","0.0017","0.029","0.035","0.032","0.0017","0.029","0.035","1","0","N/A","N/A","8950000","N/A","481000"
"1 - Employed full time","NC","0.014","0.0009","0.012","0.016","0.033","0.0022","0.029","0.038","0.435","0.016","0.404","0.466","3890000","N/A","263000"
"2 - Employed part time","NC","0.003","0.0004","0.002","0.004","0.025","0.0031","0.02","0.032","0.099","0.0103","0.08","0.121","882000","N/A","111000"
"3 - Unemployed","NC","0.002","0.0002","0.001","0.002","0.032","0.0051","0.024","0.044","0.049","0.0077","0.036","0.067","439000","N/A","70000"
"4 - Other","NC","0.012","0.0008","0.01","0.014","0.033","0.0022","0.029","0.037","0.373","0.0169","0.34","0.407","3338000","N/A","223000"
