"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"99 - 12-14 year olds","NY","0.002","0.0003","0.002","0.003","0.052","0.0055","0.043","0.064","0.041","0.0037","0.034","0.048","686000","N/A","74000"
"Overall","OH","0.035","0.0016","0.032","0.039","0.035","0.0016","0.032","0.039","1","0","N/A","N/A","9941000","N/A","457000"
"1 - Employed full time","OH","0.015","0.0008","0.013","0.017","0.036","0.0019","0.032","0.04","0.424","0.0142","0.396","0.452","4213000","N/A","227000"
"2 - Employed part time","OH","0.004","0.0004","0.003","0.005","0.033","0.003","0.028","0.04","0.117","0.0082","0.102","0.134","1163000","N/A","106000"
"3 - Unemployed","OH","0.002","0.0002","0.001","0.002","0.035","0.0044","0.027","0.044","0.047","0.0053","0.038","0.059","469000","N/A","61000"
"4 - Other","OH","0.013","0.0007","0.012","0.014","0.035","0.002","0.032","0.04","0.365","0.0142","0.337","0.393","3627000","N/A","212000"
"99 - 12-14 year olds","OH","0.002","0.0001","0.001","0.002","0.036","0.0028","0.031","0.042","0.047","0.0031","0.041","0.054","469000","N/A","37000"
"Overall","OK","0.012","0.0008","0.01","0.014","0.012","0.0008","0.01","0.014","1","0","N/A","N/A","3304000","N/A","234000"
"1 - Employed full time","OK","0.004","0.0004","0.004","0.005","0.011","0.0009","0.009","0.013","0.382","0.0212","0.341","0.424","1262000","N/A","100000"
"2 - Employed part time","OK","0.001","0.0002","0.001","0.002","0.012","0.0015","0.009","0.015","0.121","0.0133","0.098","0.15","401000","N/A","52000"
"3 - Unemployed","OK","0.001","0.0001","0","0.001","0.013","0.0022","0.009","0.018","0.051","0.0083","0.037","0.07","169000","N/A","29000"
"4 - Other","OK","0.005","0.0005","0.004","0.006","0.013","0.0013","0.01","0.016","0.394","0.0235","0.349","0.441","1301000","N/A","136000"
"99 - 12-14 year olds","OK","0.001","0.0001","0","0.001","0.013","0.0016","0.01","0.017","0.052","0.0059","0.041","0.064","171000","N/A","22000"
"Overall","OR","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3664000","N/A","216000"
"1 - Employed full time","OR","0.005","0.0004","0.005","0.006","0.013","0.001","0.011","0.015","0.412","0.0217","0.371","0.455","1511000","N/A","122000"
