"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","285850000","N/A","2876000"
"1 - White, Not Hispanic","Overall","0.596","0.0044","0.588","0.605","1","0","N/A","N/A","0.596","0.0044","0.588","0.605","170477000","N/A","2087000"
"2 - Black, Not Hispanic","Overall","0.122","0.0027","0.117","0.128","1","0","N/A","N/A","0.122","0.0027","0.117","0.128","34956000","N/A","835000"
"3 - Other or Multiple, Not Hispanic","Overall","0.094","0.0021","0.09","0.099","1","0","N/A","N/A","0.094","0.0021","0.09","0.099","26977000","N/A","657000"
"4 - Hispanic","Overall","0.187","0.0033","0.181","0.193","1","0","N/A","N/A","0.187","0.0033","0.181","0.193","53439000","N/A","1127000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","592000","N/A","49000"
"1 - White, Not Hispanic","AK","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.003","0.614","0.0292","0.555","0.669","363000","N/A","35000"
"2 - Black, Not Hispanic","AK","0","0","0","0","0.001","0.0002","0","0.001","0.031","0.0084","0.018","0.052","18000","N/A","5000"
"3 - Other or Multiple, Not Hispanic","AK","0.001","0.0001","0","0.001","0.006","0.0008","0.005","0.008","0.291","0.0247","0.245","0.341","172000","N/A","20000"
"4 - Hispanic","AK","0","0","0","0","0.001","0.0001","0.001","0.001","0.065","0.0083","0.051","0.083","39000","N/A","5000"
"Overall","AL","0.015","0.001","0.013","0.017","0.015","0.001","0.013","0.017","1","0","N/A","N/A","4320000","N/A","299000"
"1 - White, Not Hispanic","AL","0.01","0.0009","0.008","0.012","0.017","0.0015","0.014","0.02","0.655","0.0247","0.605","0.702","2829000","N/A","249000"
"2 - Black, Not Hispanic","AL","0.004","0.0004","0.003","0.005","0.032","0.003","0.026","0.038","0.257","0.0218","0.217","0.302","1112000","N/A","107000"
"3 - Other or Multiple, Not Hispanic","AL","0.001","0.0001","0","0.001","0.006","0.0012","0.004","0.009","0.037","0.0072","0.025","0.054","158000","N/A","31000"
"4 - Hispanic","AL","0.001","0.0001","0.001","0.001","0.004","0.0008","0.003","0.006","0.051","0.0091","0.036","0.072","221000","N/A","41000"
"Overall","AR","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2572000","N/A","166000"
