"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","280926000","N/A","3041000"
"1 - Less high school","Overall","0.094","0.0021","0.09","0.098","1","0","N/A","N/A","0.094","0.0021","0.09","0.098","26312000","N/A","698000"
"2 - High school grad","Overall","0.247","0.0029","0.241","0.252","1","0","N/A","N/A","0.247","0.0029","0.241","0.252","69268000","N/A","1128000"
"3 - Some coll/Assoc Dg","Overall","0.276","0.0025","0.271","0.281","1","0","N/A","N/A","0.276","0.0025","0.271","0.281","77478000","N/A","1075000"
"4 - College graduate","Overall","0.292","0.0035","0.285","0.299","1","0","N/A","N/A","0.292","0.0035","0.285","0.299","81995000","N/A","1253000"
"5 - 12 to 17 year olds","Overall","0.092","0.0012","0.09","0.094","1","0","N/A","N/A","0.092","0.0012","0.09","0.094","25873000","N/A","438000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","586000","N/A","40000"
"1 - Less high school","AK","0","0","0","0","0.001","0.0003","0.001","0.002","0.066","0.0117","0.047","0.093","39000","N/A","7000"
"2 - High school grad","AK","0.001","0","0","0.001","0.002","0.0002","0.002","0.003","0.268","0.0188","0.233","0.307","157000","N/A","14000"
"3 - Some coll/Assoc Dg","AK","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.306","0.0188","0.27","0.344","179000","N/A","16000"
"4 - College graduate","AK","0.001","0.0001","0","0.001","0.002","0.0002","0.001","0.002","0.259","0.0214","0.219","0.303","152000","N/A","18000"
"5 - 12 to 17 year olds","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.1","0.0081","0.085","0.117","59000","N/A","6000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4260000","N/A","214000"
"1 - Less high school","AL","0.002","0.0003","0.001","0.002","0.018","0.0027","0.013","0.024","0.11","0.014","0.085","0.141","469000","N/A","71000"
"2 - High school grad","AL","0.004","0.0004","0.004","0.005","0.018","0.0017","0.015","0.021","0.286","0.0206","0.247","0.328","1219000","N/A","120000"
"3 - Some coll/Assoc Dg","AL","0.004","0.0003","0.004","0.005","0.016","0.0011","0.014","0.018","0.284","0.0179","0.25","0.321","1211000","N/A","88000"
"4 - College graduate","AL","0.003","0.0003","0.003","0.004","0.012","0.0011","0.01","0.014","0.227","0.0227","0.186","0.275","968000","N/A","94000"
"5 - 12 to 17 year olds","AL","0.001","0.0002","0.001","0.002","0.015","0.0017","0.012","0.019","0.092","0.0091","0.076","0.112","394000","N/A","43000"
"Overall","AR","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2535000","N/A","197000"
"1 - Less high school","AR","0.001","0.0002","0.001","0.001","0.01","0.0018","0.007","0.014","0.105","0.0159","0.078","0.141","267000","N/A","47000"
"2 - High school grad","AR","0.003","0.0003","0.002","0.003","0.011","0.0011","0.009","0.014","0.312","0.0222","0.27","0.357","791000","N/A","75000"
"3 - Some coll/Assoc Dg","AR","0.003","0.0003","0.002","0.003","0.009","0.001","0.007","0.011","0.281","0.0182","0.246","0.318","712000","N/A","74000"
"4 - College graduate","AR","0.002","0.0002","0.001","0.002","0.006","0.0009","0.005","0.008","0.205","0.0212","0.166","0.249","519000","N/A","70000"
"5 - 12 to 17 year olds","AR","0.001","0.0001","0.001","0.001","0.01","0.0013","0.007","0.012","0.098","0.0102","0.079","0.119","247000","N/A","33000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6201000","N/A","429000"
"1 - Less high school","AZ","0.002","0.0004","0.002","0.003","0.024","0.0045","0.017","0.035","0.103","0.0168","0.074","0.141","639000","N/A","121000"
"2 - High school grad","AZ","0.005","0.0007","0.004","0.006","0.02","0.0027","0.015","0.026","0.223","0.0236","0.18","0.273","1385000","N/A","191000"
"3 - Some coll/Assoc Dg","AZ","0.007","0.0007","0.006","0.008","0.025","0.0025","0.021","0.031","0.314","0.0238","0.27","0.363","1949000","N/A","199000"
"4 - College graduate","AZ","0.006","0.0006","0.005","0.007","0.02","0.0022","0.016","0.025","0.266","0.0288","0.213","0.326","1650000","N/A","182000"
"5 - 12 to 17 year olds","AZ","0.002","0.0002","0.002","0.003","0.022","0.0023","0.018","0.027","0.093","0.0072","0.08","0.108","578000","N/A","61000"
"Overall","CA","0.118","0.0043","0.11","0.127","0.118","0.0043","0.11","0.127","1","0","N/A","N/A","33113000","N/A","1333000"
"1 - Less high school","CA","0.015","0.0013","0.012","0.017","0.155","0.0122","0.133","0.181","0.123","0.0089","0.107","0.142","4086000","N/A","362000"
"2 - High school grad","CA","0.023","0.0014","0.02","0.026","0.093","0.0056","0.083","0.105","0.195","0.0098","0.176","0.215","6451000","N/A","407000"
"3 - Some coll/Assoc Dg","CA","0.033","0.0015","0.03","0.036","0.12","0.0052","0.111","0.131","0.282","0.0093","0.264","0.3","9335000","N/A","438000"
"4 - College graduate","CA","0.036","0.0022","0.032","0.041","0.124","0.0069","0.111","0.138","0.307","0.0143","0.28","0.336","10161000","N/A","631000"
"5 - 12 to 17 year olds","CA","0.011","0.0007","0.01","0.012","0.119","0.0073","0.105","0.134","0.093","0.0048","0.084","0.103","3079000","N/A","207000"
"Overall","CO","0.018","0.0014","0.015","0.021","0.018","0.0014","0.015","0.021","1","0","N/A","N/A","4950000","N/A","388000"
"1 - Less high school","CO","0.001","0.0002","0.001","0.002","0.013","0.0022","0.009","0.018","0.068","0.0099","0.051","0.09","335000","N/A","58000"
"2 - High school grad","CO","0.003","0.0004","0.003","0.004","0.014","0.0015","0.011","0.017","0.198","0.0149","0.17","0.229","979000","N/A","106000"
"3 - Some coll/Assoc Dg","CO","0.005","0.0005","0.004","0.006","0.017","0.0018","0.014","0.021","0.273","0.0213","0.233","0.316","1350000","N/A","143000"
"4 - College graduate","CO","0.007","0.0007","0.005","0.008","0.022","0.0023","0.018","0.027","0.372","0.0247","0.325","0.422","1843000","N/A","190000"
"5 - 12 to 17 year olds","CO","0.002","0.0002","0.001","0.002","0.017","0.0022","0.013","0.022","0.089","0.0087","0.073","0.108","442000","N/A","58000"
"Overall","CT","0.011","0.0008","0.01","0.013","0.011","0.0008","0.01","0.013","1","0","N/A","N/A","3116000","N/A","235000"
"1 - Less high school","CT","0.001","0.0002","0.001","0.001","0.009","0.0021","0.006","0.014","0.08","0.0161","0.054","0.118","250000","N/A","54000"
"2 - High school grad","CT","0.003","0.0003","0.002","0.003","0.011","0.0014","0.008","0.014","0.238","0.024","0.194","0.288","741000","N/A","96000"
"3 - Some coll/Assoc Dg","CT","0.003","0.0003","0.002","0.003","0.01","0.0011","0.008","0.012","0.241","0.0191","0.206","0.281","752000","N/A","89000"
"4 - College graduate","CT","0.004","0.0004","0.003","0.005","0.013","0.0012","0.011","0.016","0.353","0.0222","0.311","0.398","1101000","N/A","101000"
"5 - 12 to 17 year olds","CT","0.001","0.0001","0.001","0.001","0.011","0.0013","0.008","0.013","0.087","0.0101","0.069","0.109","272000","N/A","34000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","572000","N/A","35000"
"1 - Less high school","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.06","0.011","0.042","0.086","34000","N/A","6000"
"2 - High school grad","DC","0","0","0","0","0.001","0.0001","0.001","0.001","0.143","0.0136","0.118","0.172","82000","N/A","9000"
"3 - Some coll/Assoc Dg","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.184","0.0157","0.155","0.217","105000","N/A","12000"
"4 - College graduate","DC","0.001","0.0001","0.001","0.001","0.004","0.0003","0.003","0.005","0.554","0.024","0.506","0.6","316000","N/A","26000"
"5 - 12 to 17 year olds","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.06","0.0077","0.046","0.077","34000","N/A","4000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","863000","N/A","53000"
"1 - Less high school","DE","0","0","0","0","0.003","0.0004","0.002","0.003","0.078","0.0099","0.06","0.099","67000","N/A","9000"
"2 - High school grad","DE","0.001","0.0001","0.001","0.001","0.003","0.0004","0.003","0.004","0.268","0.0227","0.226","0.315","231000","N/A","27000"
"3 - Some coll/Assoc Dg","DE","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.003","0.271","0.0115","0.249","0.294","234000","N/A","15000"
"4 - College graduate","DE","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.298","0.022","0.257","0.343","257000","N/A","23000"
"5 - 12 to 17 year olds","DE","0","0","0","0","0.003","0.0003","0.002","0.004","0.085","0.0091","0.069","0.105","74000","N/A","9000"
"Overall","FL","0.067","0.0028","0.062","0.073","0.067","0.0028","0.062","0.073","1","0","N/A","N/A","18944000","N/A","822000"
"1 - Less high school","FL","0.007","0.0007","0.005","0.008","0.071","0.0074","0.058","0.087","0.098","0.0093","0.081","0.118","1863000","N/A","201000"
"2 - High school grad","FL","0.017","0.0012","0.015","0.02","0.071","0.0048","0.062","0.081","0.258","0.0125","0.235","0.284","4897000","N/A","346000"
"3 - Some coll/Assoc Dg","FL","0.019","0.0011","0.017","0.022","0.069","0.004","0.062","0.078","0.284","0.0119","0.261","0.308","5379000","N/A","327000"
"4 - College graduate","FL","0.019","0.0012","0.017","0.021","0.064","0.0039","0.057","0.073","0.279","0.0147","0.251","0.309","5288000","N/A","328000"
"5 - 12 to 17 year olds","FL","0.005","0.0003","0.005","0.006","0.059","0.0035","0.052","0.066","0.08","0.0041","0.072","0.089","1518000","N/A","94000"
"Overall","GA","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9064000","N/A","548000"
"1 - Less high school","GA","0.003","0.0003","0.003","0.004","0.035","0.0033","0.029","0.042","0.101","0.0074","0.087","0.116","913000","N/A","86000"
"2 - High school grad","GA","0.008","0.0007","0.007","0.01","0.033","0.0029","0.028","0.039","0.253","0.0157","0.224","0.285","2297000","N/A","208000"
"3 - Some coll/Assoc Dg","GA","0.009","0.0006","0.007","0.01","0.031","0.0022","0.027","0.036","0.266","0.0132","0.241","0.293","2410000","N/A","176000"
