"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","280871000","N/A","3042000"
"1 - Living in Poverty","Overall","0.151","0.0027","0.146","0.157","1","0","N/A","N/A","0.151","0.0027","0.146","0.157","42465000","N/A","934000"
"2 - Income Up to 2X Fed Pov Thresh","Overall","0.2","0.0027","0.195","0.205","1","0","N/A","N/A","0.2","0.0027","0.195","0.205","56119000","N/A","987000"
"3 - Income More Than 2X Fed Pov Thresh","Overall","0.649","0.0042","0.641","0.657","1","0","N/A","N/A","0.649","0.0042","0.641","0.657","182287000","N/A","2214000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","586000","N/A","40000"
"1 - Living in Poverty","AK","0","0","0","0","0.002","0.0003","0.001","0.002","0.133","0.0148","0.107","0.165","78000","N/A","11000"
"2 - Income Up to 2X Fed Pov Thresh","AK","0","0","0","0","0.002","0.0002","0.002","0.002","0.195","0.0189","0.161","0.235","114000","N/A","11000"
"3 - Income More Than 2X Fed Pov Thresh","AK","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.003","0.672","0.0225","0.626","0.714","394000","N/A","32000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4260000","N/A","214000"
"1 - Living in Poverty","AL","0.003","0.0003","0.003","0.004","0.022","0.0019","0.018","0.026","0.214","0.0162","0.184","0.248","913000","N/A","82000"
"2 - Income Up to 2X Fed Pov Thresh","AL","0.004","0.0004","0.003","0.004","0.018","0.0017","0.015","0.022","0.241","0.018","0.207","0.278","1026000","N/A","99000"
"3 - Income More Than 2X Fed Pov Thresh","AL","0.008","0.0005","0.007","0.009","0.013","0.0008","0.011","0.014","0.545","0.0255","0.495","0.594","2321000","N/A","152000"
"Overall","AR","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2535000","N/A","197000"
"1 - Living in Poverty","AR","0.002","0.0002","0.001","0.002","0.011","0.0014","0.009","0.014","0.189","0.0223","0.149","0.237","479000","N/A","61000"
"2 - Income Up to 2X Fed Pov Thresh","AR","0.002","0.0003","0.002","0.003","0.012","0.0014","0.01","0.015","0.268","0.0195","0.231","0.308","679000","N/A","78000"
"3 - Income More Than 2X Fed Pov Thresh","AR","0.005","0.0005","0.004","0.006","0.008","0.0007","0.006","0.009","0.543","0.0286","0.487","0.599","1378000","N/A","132000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6201000","N/A","429000"
"1 - Living in Poverty","AZ","0.004","0.0006","0.003","0.005","0.025","0.0037","0.019","0.034","0.172","0.0211","0.135","0.218","1069000","N/A","162000"
