"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - 18-25 Years Old","WI","0.002","0.0002","0.002","0.003","0.018","0.0015","0.015","0.021","0.123","0.0124","0.101","0.15","626000","N/A","54000"
"2 - 26-34 Years Old","WI","0.002","0.0002","0.002","0.003","0.016","0.0015","0.014","0.019","0.13","0.0096","0.113","0.15","662000","N/A","60000"
"3 - 35-49 Years Old","WI","0.004","0.0003","0.003","0.004","0.017","0.0015","0.014","0.02","0.213","0.0159","0.183","0.245","1081000","N/A","94000"
"4 - 50 or Older","WI","0.008","0.0009","0.006","0.01","0.019","0.002","0.015","0.023","0.445","0.0248","0.397","0.494","2263000","N/A","245000"
"5 - 12-17 Years Old","WI","0.002","0.0001","0.001","0.002","0.017","0.0016","0.015","0.021","0.089","0.0066","0.077","0.103","453000","N/A","43000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1516000","N/A","121000"
"1 - 18-25 Years Old","WV","0.001","0","0.001","0.001","0.005","0.0004","0.004","0.006","0.114","0.0087","0.098","0.133","174000","N/A","14000"
"2 - 26-34 Years Old","WV","0.001","0.0001","0.001","0.001","0.005","0.0004","0.004","0.005","0.123","0.007","0.11","0.138","187000","N/A","16000"
"3 - 35-49 Years Old","WV","0.001","0.0001","0.001","0.001","0.005","0.0004","0.004","0.006","0.205","0.0108","0.184","0.227","310000","N/A","26000"
"4 - 50 or Older","WV","0.003","0.0003","0.002","0.003","0.006","0.0006","0.005","0.007","0.474","0.0204","0.434","0.514","719000","N/A","77000"
"5 - 12-17 Years Old","WV","0","0","0","0.001","0.005","0.0005","0.004","0.006","0.084","0.0072","0.071","0.099","127000","N/A","13000"
"Overall","WY","0.002","0.0002","0.001","0.002","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","496000","N/A","43000"
"1 - 18-25 Years Old","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.119","0.0108","0.099","0.142","59000","N/A","7000"
"2 - 26-34 Years Old","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.129","0.0146","0.103","0.161","64000","N/A","9000"
"3 - 35-49 Years Old","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.224","0.0177","0.191","0.261","111000","N/A","12000"
"4 - 50 or Older","WY","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.432","0.0296","0.375","0.491","214000","N/A","25000"
"5 - 12-17 Years Old","WY","0","0","0","0","0.002","0.0003","0.001","0.002","0.096","0.0104","0.078","0.119","48000","N/A","7000"
