"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","280926000","N/A","3041000"
"1 - White, Not Hispanic","Overall","0.609","0.0045","0.6","0.618","1","0","N/A","N/A","0.609","0.0045","0.6","0.618","171063000","N/A","2103000"
"2 - Black, Not Hispanic","Overall","0.122","0.0028","0.116","0.128","1","0","N/A","N/A","0.122","0.0028","0.116","0.128","34264000","N/A","878000"
"3 - Other or Multiple, Not Hispanic","Overall","0.09","0.0024","0.085","0.095","1","0","N/A","N/A","0.09","0.0024","0.085","0.095","25255000","N/A","735000"
"4 - Hispanic","Overall","0.179","0.0037","0.172","0.187","1","0","N/A","N/A","0.179","0.0037","0.172","0.187","50343000","N/A","1247000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","586000","N/A","40000"
"1 - White, Not Hispanic","AK","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.616","0.0271","0.561","0.667","361000","N/A","30000"
"2 - Black, Not Hispanic","AK","0","0","0","0","0.001","0.0002","0","0.001","0.031","0.0096","0.016","0.056","18000","N/A","6000"
"3 - Other or Multiple, Not Hispanic","AK","0.001","0.0001","0","0.001","0.007","0.0008","0.005","0.008","0.287","0.0275","0.236","0.344","168000","N/A","19000"
"4 - Hispanic","AK","0","0","0","0","0.001","0.0001","0.001","0.001","0.067","0.0099","0.05","0.089","39000","N/A","6000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4260000","N/A","214000"
"1 - White, Not Hispanic","AL","0.01","0.0007","0.009","0.012","0.017","0.0012","0.014","0.019","0.664","0.0264","0.611","0.714","2829000","N/A","207000"
"2 - Black, Not Hispanic","AL","0.004","0.0003","0.003","0.005","0.032","0.0028","0.027","0.038","0.259","0.0213","0.219","0.302","1101000","N/A","95000"
"3 - Other or Multiple, Not Hispanic","AL","0.001","0.0001","0","0.001","0.006","0.001","0.004","0.008","0.036","0.0057","0.026","0.048","151000","N/A","25000"
"4 - Hispanic","AL","0.001","0.0002","0","0.001","0.004","0.0009","0.002","0.006","0.042","0.0111","0.025","0.07","178000","N/A","45000"
"Overall","AR","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2535000","N/A","197000"
"1 - White, Not Hispanic","AR","0.007","0.0006","0.006","0.008","0.011","0.001","0.009","0.013","0.731","0.0223","0.685","0.772","1852000","N/A","164000"
"2 - Black, Not Hispanic","AR","0.001","0.0002","0.001","0.002","0.011","0.0015","0.008","0.014","0.147","0.0169","0.117","0.183","373000","N/A","50000"
"3 - Other or Multiple, Not Hispanic","AR","0","0.0001","0","0.001","0.005","0.001","0.003","0.007","0.046","0.0092","0.031","0.068","116000","N/A","25000"
"4 - Hispanic","AR","0.001","0.0001","0","0.001","0.004","0.0007","0.003","0.006","0.077","0.0138","0.054","0.108","194000","N/A","35000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6201000","N/A","429000"
"1 - White, Not Hispanic","AZ","0.012","0.0011","0.01","0.015","0.02","0.0018","0.017","0.024","0.558","0.0337","0.491","0.623","3460000","N/A","312000"
"2 - Black, Not Hispanic","AZ","0.001","0.0002","0.001","0.001","0.008","0.0017","0.005","0.012","0.045","0.0087","0.031","0.065","278000","N/A","58000"
"3 - Other or Multiple, Not Hispanic","AZ","0.002","0.0004","0.001","0.003","0.023","0.004","0.016","0.032","0.094","0.0151","0.069","0.128","585000","N/A","102000"
"4 - Hispanic","AZ","0.007","0.0008","0.005","0.009","0.037","0.0045","0.029","0.047","0.303","0.0307","0.246","0.366","1879000","N/A","234000"
"Overall","CA","0.118","0.0043","0.11","0.127","0.118","0.0043","0.11","0.127","1","0","N/A","N/A","33113000","N/A","1333000"
"1 - White, Not Hispanic","CA","0.043","0.0024","0.039","0.048","0.071","0.0038","0.064","0.079","0.366","0.0162","0.335","0.399","12133000","N/A","688000"
"2 - Black, Not Hispanic","CA","0.007","0.0007","0.005","0.008","0.053","0.0055","0.043","0.065","0.055","0.0058","0.045","0.068","1826000","N/A","195000"
"3 - Other or Multiple, Not Hispanic","CA","0.023","0.0019","0.019","0.027","0.253","0.0169","0.221","0.287","0.193","0.0134","0.168","0.22","6382000","N/A","548000"
"4 - Hispanic","CA","0.045","0.0027","0.04","0.051","0.254","0.0127","0.23","0.279","0.386","0.0182","0.351","0.422","12771000","N/A","799000"
"Overall","CO","0.018","0.0014","0.015","0.021","0.018","0.0014","0.015","0.021","1","0","N/A","N/A","4950000","N/A","388000"
"1 - White, Not Hispanic","CO","0.012","0.0011","0.01","0.015","0.02","0.0018","0.017","0.024","0.69","0.0232","0.642","0.733","3413000","N/A","316000"
"2 - Black, Not Hispanic","CO","0.001","0.0001","0","0.001","0.006","0.0012","0.004","0.008","0.039","0.008","0.026","0.058","191000","N/A","41000"
"3 - Other or Multiple, Not Hispanic","CO","0.001","0.0002","0.001","0.001","0.013","0.0018","0.009","0.017","0.064","0.0079","0.05","0.081","316000","N/A","45000"
"4 - Hispanic","CO","0.004","0.0004","0.003","0.005","0.02","0.0024","0.016","0.026","0.208","0.0215","0.169","0.253","1030000","N/A","121000"
"Overall","CT","0.011","0.0008","0.01","0.013","0.011","0.0008","0.01","0.013","1","0","N/A","N/A","3116000","N/A","235000"
"1 - White, Not Hispanic","CT","0.007","0.0006","0.006","0.009","0.012","0.001","0.01","0.014","0.663","0.0296","0.603","0.719","2066000","N/A","177000"
"2 - Black, Not Hispanic","CT","0.001","0.0002","0.001","0.002","0.009","0.0018","0.006","0.014","0.104","0.0182","0.073","0.146","324000","N/A","63000"
