"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","280926000","N/A","3041000"
"1 - 18-25 Years Old","Overall","0.121","0.0016","0.118","0.125","1","0","N/A","N/A","0.121","0.0016","0.118","0.125","34122000","N/A","557000"
"2 - 26-34 Years Old","Overall","0.143","0.002","0.139","0.147","1","0","N/A","N/A","0.143","0.002","0.139","0.147","40186000","N/A","683000"
"3 - 35-49 Years Old","Overall","0.222","0.0021","0.217","0.226","1","0","N/A","N/A","0.222","0.0021","0.217","0.226","62255000","N/A","914000"
"4 - 50 or Older","Overall","0.422","0.0034","0.415","0.428","1","0","N/A","N/A","0.422","0.0034","0.415","0.428","118490000","N/A","1649000"
"5 - 12-17 Years Old","Overall","0.092","0.0012","0.09","0.094","1","0","N/A","N/A","0.092","0.0012","0.09","0.094","25873000","N/A","438000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","586000","N/A","40000"
"1 - 18-25 Years Old","AK","0","0","0","0","0.002","0.0002","0.002","0.002","0.113","0.01","0.095","0.134","66000","N/A","7000"
"2 - 26-34 Years Old","AK","0","0","0","0","0.002","0.0003","0.002","0.003","0.16","0.0154","0.132","0.193","94000","N/A","11000"
"3 - 35-49 Years Old","AK","0","0","0","0.001","0.002","0.0002","0.002","0.003","0.235","0.0135","0.21","0.263","138000","N/A","12000"
"4 - 50 or Older","AK","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.391","0.0198","0.352","0.43","229000","N/A","21000"
"5 - 12-17 Years Old","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.1","0.0081","0.085","0.117","59000","N/A","6000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4260000","N/A","214000"
"1 - 18-25 Years Old","AL","0.002","0.0002","0.002","0.002","0.015","0.0016","0.013","0.019","0.124","0.0133","0.1","0.152","526000","N/A","55000"
"2 - 26-34 Years Old","AL","0.002","0.0002","0.002","0.002","0.014","0.0014","0.012","0.017","0.136","0.0121","0.114","0.161","578000","N/A","57000"
"3 - 35-49 Years Old","AL","0.003","0.0002","0.003","0.004","0.014","0.001","0.013","0.017","0.212","0.0114","0.19","0.235","902000","N/A","63000"
"4 - 50 or Older","AL","0.007","0.0005","0.006","0.008","0.016","0.0012","0.014","0.018","0.437","0.0168","0.404","0.47","1860000","N/A","138000"
"5 - 12-17 Years Old","AL","0.001","0.0002","0.001","0.002","0.015","0.0017","0.012","0.019","0.092","0.0091","0.076","0.112","394000","N/A","43000"
"Overall","AR","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2535000","N/A","197000"
"1 - 18-25 Years Old","AR","0.001","0.0001","0.001","0.001","0.009","0.0012","0.007","0.012","0.125","0.0144","0.099","0.156","316000","N/A","42000"
"2 - 26-34 Years Old","AR","0.001","0.0001","0.001","0.002","0.009","0.0009","0.007","0.011","0.137","0.0113","0.116","0.161","347000","N/A","35000"
"3 - 35-49 Years Old","AR","0.002","0.0002","0.002","0.002","0.009","0.0009","0.007","0.011","0.215","0.0133","0.19","0.242","546000","N/A","56000"
"4 - 50 or Older","AR","0.004","0.0004","0.003","0.005","0.009","0.001","0.007","0.011","0.426","0.0307","0.367","0.487","1080000","N/A","120000"
"5 - 12-17 Years Old","AR","0.001","0.0001","0.001","0.001","0.01","0.0013","0.007","0.012","0.098","0.0102","0.079","0.119","247000","N/A","33000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6201000","N/A","429000"
"1 - 18-25 Years Old","AZ","0.003","0.0003","0.002","0.004","0.023","0.0028","0.018","0.029","0.125","0.0131","0.102","0.153","778000","N/A","96000"
