"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","285850000","N/A","2876000"
"1 - Employed full time","Overall","0.426","0.0027","0.42","0.431","1","0","N/A","N/A","0.426","0.0027","0.42","0.431","121717000","N/A","1431000"
"2 - Employed part time","Overall","0.124","0.0015","0.121","0.127","1","0","N/A","N/A","0.124","0.0015","0.121","0.127","35380000","N/A","555000"
"3 - Unemployed","Overall","0.048","0.0011","0.046","0.051","1","0","N/A","N/A","0.048","0.0011","0.046","0.051","13850000","N/A","336000"
"4 - Other","Overall","0.359","0.0027","0.353","0.364","1","0","N/A","N/A","0.359","0.0027","0.353","0.364","102495000","N/A","1333000"
"99 - 12-14 year olds","Overall","0.043","0.0006","0.042","0.045","1","0","N/A","N/A","0.043","0.0006","0.042","0.045","12408000","N/A","223000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","592000","N/A","49000"
"1 - Employed full time","AK","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.433","0.0225","0.389","0.478","256000","N/A","27000"
"2 - Employed part time","AK","0","0","0","0","0.002","0.0003","0.002","0.003","0.124","0.0141","0.099","0.154","73000","N/A","10000"
"3 - Unemployed","AK","0","0","0","0","0.002","0.0003","0.001","0.003","0.046","0.0069","0.034","0.062","27000","N/A","4000"
"4 - Other","AK","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.352","0.0205","0.313","0.393","208000","N/A","21000"
"99 - 12-14 year olds","AK","0","0","0","0","0.002","0.0003","0.002","0.003","0.045","0.005","0.036","0.056","27000","N/A","3000"
"Overall","AL","0.015","0.001","0.013","0.017","0.015","0.001","0.013","0.017","1","0","N/A","N/A","4320000","N/A","299000"
