"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","274487000","N/A","1650000"
"1 - 18-25 Years Old","Overall","0.123","0.0015","0.121","0.126","1","0","N/A","N/A","0.123","0.0015","0.121","0.126","33884000","N/A","418000"
"2 - 26-34 Years Old","Overall","0.146","0.0016","0.143","0.15","1","0","N/A","N/A","0.146","0.0016","0.143","0.15","40173000","N/A","477000"
"3 - 35-49 Years Old","Overall","0.222","0.0018","0.218","0.226","1","0","N/A","N/A","0.222","0.0018","0.218","0.226","60938000","N/A","608000"
"4 - 50 or Older","Overall","0.417","0.0031","0.411","0.424","1","0","N/A","N/A","0.417","0.0031","0.411","0.424","114591000","N/A","1210000"
"5 - 12-17 Years Old","Overall","0.091","0.0009","0.089","0.093","1","0","N/A","N/A","0.091","0.0009","0.089","0.093","24900000","N/A","266000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","585000","N/A","20000"
"1 - 18-25 Years Old","AK","0","0","0","0","0.002","0.0001","0.002","0.002","0.122","0.0074","0.108","0.137","71000","N/A","5000"
"2 - 26-34 Years Old","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.168","0.0097","0.15","0.188","98000","N/A","6000"
"3 - 35-49 Years Old","AK","0","0","0","0.001","0.002","0.0002","0.002","0.003","0.227","0.0151","0.199","0.258","133000","N/A","10000"
"4 - 50 or Older","AK","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.385","0.0216","0.344","0.428","225000","N/A","15000"
"5 - 12-17 Years Old","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.098","0.0066","0.086","0.112","57000","N/A","4000"
"Overall","AL","0.015","0.0007","0.014","0.016","0.015","0.0007","0.014","0.016","1","0","N/A","N/A","4101000","N/A","183000"
"1 - 18-25 Years Old","AL","0.002","0.0001","0.002","0.002","0.015","0.001","0.013","0.017","0.123","0.0099","0.105","0.144","505000","N/A","34000"
"2 - 26-34 Years Old","AL","0.002","0.0001","0.002","0.002","0.014","0.001","0.012","0.016","0.137","0.0078","0.123","0.153","563000","N/A","39000"
"3 - 35-49 Years Old","AL","0.003","0.0002","0.003","0.004","0.015","0.0008","0.013","0.016","0.216","0.0101","0.196","0.236","884000","N/A","51000"
"4 - 50 or Older","AL","0.006","0.0005","0.006","0.008","0.016","0.0012","0.013","0.018","0.434","0.0186","0.397","0.47","1778000","N/A","134000"
"5 - 12-17 Years Old","AL","0.001","0.0001","0.001","0.002","0.015","0.0014","0.012","0.018","0.09","0.0076","0.077","0.107","371000","N/A","35000"
"Overall","AR","0.009","0.0003","0.008","0.01","0.009","0.0003","0.008","0.01","1","0","N/A","N/A","2499000","N/A","93000"
"1 - 18-25 Years Old","AR","0.001","0.0001","0.001","0.001","0.009","0.0007","0.008","0.011","0.125","0.0102","0.106","0.146","312000","N/A","24000"
"2 - 26-34 Years Old","AR","0.001","0.0001","0.001","0.001","0.009","0.0006","0.007","0.01","0.138","0.0101","0.12","0.159","346000","N/A","25000"
"3 - 35-49 Years Old","AR","0.002","0.0001","0.002","0.002","0.009","0.0005","0.008","0.01","0.216","0.0113","0.195","0.239","540000","N/A","30000"
"4 - 50 or Older","AR","0.004","0.0003","0.003","0.004","0.009","0.0007","0.008","0.011","0.425","0.0203","0.386","0.466","1063000","N/A","80000"
"5 - 12-17 Years Old","AR","0.001","0","0.001","0.001","0.01","0.0005","0.009","0.011","0.095","0.0058","0.084","0.107","237000","N/A","14000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6042000","N/A","425000"
"1 - 18-25 Years Old","AZ","0.003","0.0002","0.002","0.003","0.023","0.0019","0.019","0.027","0.126","0.0109","0.107","0.149","764000","N/A","64000"
"2 - 26-34 Years Old","AZ","0.003","0.0003","0.003","0.004","0.022","0.0017","0.018","0.025","0.143","0.0114","0.122","0.167","866000","N/A","71000"
"3 - 35-49 Years Old","AZ","0.005","0.0005","0.004","0.006","0.021","0.0024","0.017","0.027","0.214","0.0186","0.18","0.253","1294000","N/A","150000"
"4 - 50 or Older","AZ","0.009","0.0011","0.007","0.012","0.022","0.0025","0.018","0.028","0.423","0.0313","0.363","0.485","2555000","N/A","295000"
"5 - 12-17 Years Old","AZ","0.002","0.0002","0.002","0.003","0.023","0.0023","0.018","0.028","0.093","0.0077","0.079","0.109","563000","N/A","59000"
"Overall","CA","0.121","0.0023","0.116","0.125","0.121","0.0023","0.116","0.125","1","0","N/A","N/A","33110000","N/A","679000"
"1 - 18-25 Years Old","CA","0.015","0.0006","0.014","0.017","0.123","0.0047","0.114","0.133","0.126","0.0052","0.116","0.137","4175000","N/A","177000"
"2 - 26-34 Years Old","CA","0.019","0.0007","0.018","0.021","0.133","0.0047","0.124","0.142","0.161","0.0057","0.15","0.173","5341000","N/A","205000"
"3 - 35-49 Years Old","CA","0.028","0.0009","0.026","0.03","0.126","0.0037","0.119","0.134","0.232","0.0066","0.22","0.246","7694000","N/A","247000"
"4 - 50 or Older","CA","0.047","0.0018","0.043","0.051","0.112","0.0042","0.104","0.121","0.389","0.0113","0.367","0.412","12883000","N/A","524000"
"5 - 12-17 Years Old","CA","0.011","0.0003","0.01","0.012","0.121","0.0036","0.114","0.128","0.091","0.003","0.086","0.097","3018000","N/A","96000"
"Overall","CO","0.018","0.0009","0.016","0.019","0.018","0.0009","0.016","0.019","1","0","N/A","N/A","4806000","N/A","245000"
"1 - 18-25 Years Old","CO","0.002","0.0002","0.002","0.003","0.017","0.0018","0.014","0.021","0.123","0.0138","0.098","0.152","589000","N/A","62000"
"2 - 26-34 Years Old","CO","0.003","0.0002","0.002","0.003","0.02","0.0015","0.017","0.023","0.165","0.011","0.144","0.188","792000","N/A","61000"
"3 - 35-49 Years Old","CO","0.004","0.0004","0.003","0.005","0.019","0.0017","0.016","0.022","0.236","0.0165","0.205","0.27","1133000","N/A","104000"
"4 - 50 or Older","CO","0.007","0.0006","0.006","0.008","0.016","0.0015","0.014","0.019","0.387","0.0254","0.338","0.437","1858000","N/A","169000"
"5 - 12-17 Years Old","CO","0.002","0.0002","0.001","0.002","0.017","0.0017","0.014","0.021","0.09","0.0078","0.076","0.107","434000","N/A","41000"
"Overall","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","1","0","N/A","N/A","3060000","N/A","137000"
"1 - 18-25 Years Old","CT","0.001","0.0002","0.001","0.002","0.011","0.0016","0.009","0.015","0.125","0.0167","0.096","0.162","383000","N/A","54000"
"2 - 26-34 Years Old","CT","0.001","0.0001","0.001","0.002","0.01","0.0009","0.008","0.012","0.128","0.0113","0.108","0.152","393000","N/A","36000"
"3 - 35-49 Years Old","CT","0.002","0.0002","0.002","0.003","0.011","0.0008","0.009","0.012","0.212","0.0137","0.186","0.24","648000","N/A","52000"
"4 - 50 or Older","CT","0.005","0.0004","0.004","0.006","0.012","0.0008","0.01","0.014","0.447","0.0216","0.405","0.49","1368000","N/A","97000"
"5 - 12-17 Years Old","CT","0.001","0.0001","0.001","0.001","0.011","0.0007","0.01","0.012","0.088","0.0061","0.077","0.101","269000","N/A","17000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","598000","N/A","29000"
"1 - 18-25 Years Old","DC","0","0","0","0","0.003","0.0003","0.002","0.003","0.145","0.0165","0.115","0.18","86000","N/A","11000"
"2 - 26-34 Years Old","DC","0.001","0","0","0.001","0.004","0.0003","0.003","0.004","0.246","0.0197","0.209","0.287","147000","N/A","14000"
"3 - 35-49 Years Old","DC","0.001","0","0","0.001","0.002","0.0002","0.002","0.003","0.239","0.0131","0.215","0.266","143000","N/A","10000"
"4 - 50 or Older","DC","0.001","0.0001","0.001","0.001","0.002","0.0001","0.001","0.002","0.317","0.0237","0.272","0.365","189000","N/A","17000"
"5 - 12-17 Years Old","DC","0","0","0","0","0.001","0.0001","0.001","0.002","0.053","0.0047","0.045","0.063","32000","N/A","3000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","822000","N/A","45000"
"1 - 18-25 Years Old","DE","0","0","0","0","0.003","0.0002","0.002","0.003","0.113","0.0086","0.097","0.131","93000","N/A","6000"
"2 - 26-34 Years Old","DE","0","0","0","0","0.003","0.0002","0.002","0.003","0.138","0.0099","0.119","0.159","113000","N/A","9000"
"3 - 35-49 Years Old","DE","0.001","0","0.001","0.001","0.003","0.0002","0.002","0.003","0.203","0.0123","0.18","0.228","167000","N/A","10000"
"4 - 50 or Older","DE","0.001","0.0001","0.001","0.002","0.003","0.0003","0.003","0.004","0.462","0.0217","0.42","0.505","380000","N/A","36000"
"5 - 12-17 Years Old","DE","0","0","0","0","0.003","0.0002","0.002","0.003","0.084","0.0068","0.072","0.099","69000","N/A","5000"
"Overall","FL","0.067","0.0019","0.063","0.071","0.067","0.0019","0.063","0.071","1","0","N/A","N/A","18293000","N/A","544000"
"1 - 18-25 Years Old","FL","0.007","0.0004","0.006","0.008","0.058","0.0029","0.052","0.064","0.107","0.0056","0.096","0.118","1956000","N/A","100000"
"2 - 26-34 Years Old","FL","0.009","0.0004","0.008","0.01","0.061","0.003","0.055","0.067","0.134","0.0067","0.121","0.148","2450000","N/A","124000"
