"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"99 - 12-14 year olds","NH","0","0","0","0","0.004","0.0003","0.003","0.004","0.038","0.0034","0.032","0.045","45000","N/A","4000"
"Overall","NJ","0.027","0.001","0.026","0.029","0.027","0.001","0.026","0.029","1","0","N/A","N/A","7526000","N/A","278000"
"1 - Employed full time","NJ","0.013","0.0006","0.012","0.014","0.028","0.0014","0.025","0.031","0.464","0.0144","0.436","0.492","3491000","N/A","174000"
"2 - Employed part time","NJ","0.004","0.0003","0.003","0.005","0.03","0.0024","0.026","0.035","0.142","0.0099","0.123","0.162","1067000","N/A","85000"
"3 - Unemployed","NJ","0.001","0.0002","0.001","0.002","0.032","0.0038","0.025","0.04","0.047","0.0053","0.038","0.059","357000","N/A","43000"
"4 - Other","NJ","0.008","0.0005","0.007","0.009","0.025","0.0015","0.022","0.028","0.3","0.0148","0.272","0.33","2258000","N/A","137000"
"99 - 12-14 year olds","NJ","0.001","0.0001","0.001","0.001","0.029","0.0019","0.025","0.033","0.047","0.0034","0.041","0.054","352000","N/A","24000"
"Overall","NM","0.006","0.0003","0.006","0.007","0.006","0.0003","0.006","0.007","1","0","N/A","N/A","1747000","N/A","87000"
"1 - Employed full time","NM","0.003","0.0002","0.002","0.003","0.006","0.0004","0.005","0.007","0.437","0.0168","0.404","0.47","764000","N/A","53000"
"2 - Employed part time","NM","0.001","0.0001","0.001","0.001","0.006","0.0006","0.005","0.007","0.119","0.0106","0.1","0.141","208000","N/A","20000"
"3 - Unemployed","NM","0","0","0","0","0.006","0.0008","0.005","0.008","0.041","0.0052","0.031","0.052","71000","N/A","9000"
"4 - Other","NM","0.002","0.0001","0.002","0.003","0.007","0.0005","0.006","0.008","0.355","0.0164","0.323","0.388","620000","N/A","41000"
"99 - 12-14 year olds","NM","0","0","0","0","0.007","0.0007","0.006","0.008","0.049","0.0041","0.041","0.058","85000","N/A","8000"
"Overall","NV","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2561000","N/A","126000"
"1 - Employed full time","NV","0.004","0.0002","0.004","0.005","0.009","0.0005","0.008","0.01","0.441","0.0209","0.401","0.482","1130000","N/A","67000"
"2 - Employed part time","NV","0.001","0.0001","0.001","0.001","0.009","0.0009","0.008","0.011","0.126","0.0108","0.106","0.149","323000","N/A","32000"
"3 - Unemployed","NV","0.001","0.0001","0","0.001","0.013","0.0018","0.01","0.017","0.056","0.0068","0.044","0.071","144000","N/A","20000"
"4 - Other","NV","0.003","0.0003","0.003","0.004","0.009","0.0008","0.008","0.011","0.333","0.0199","0.295","0.373","853000","N/A","75000"
