"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","273535000","N/A","1647000"
"1 - Living in Poverty","Overall","0.141","0.0022","0.137","0.146","1","0","N/A","N/A","0.141","0.0022","0.137","0.146","38667000","N/A","598000"
"2 - Income Up to 2X Fed Pov Thresh","Overall","0.196","0.0022","0.192","0.201","1","0","N/A","N/A","0.196","0.0022","0.192","0.201","53696000","N/A","616000"
"3 - Income More Than 2X Fed Pov Thresh","Overall","0.662","0.0035","0.656","0.669","1","0","N/A","N/A","0.662","0.0035","0.656","0.669","181173000","N/A","1599000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","584000","N/A","20000"
"1 - Living in Poverty","AK","0","0","0","0","0.002","0.0003","0.002","0.003","0.15","0.0147","0.124","0.181","88000","N/A","10000"
"2 - Income Up to 2X Fed Pov Thresh","AK","0","0","0","0","0.002","0.0001","0.001","0.002","0.147","0.0116","0.126","0.171","86000","N/A","7000"
"3 - Income More Than 2X Fed Pov Thresh","AK","0.001","0.0001","0.001","0.002","0.002","0.0001","0.002","0.002","0.703","0.0195","0.663","0.74","410000","N/A","17000"
"Overall","AL","0.015","0.0007","0.014","0.016","0.015","0.0007","0.014","0.016","1","0","N/A","N/A","4087000","N/A","189000"
"1 - Living in Poverty","AL","0.003","0.0002","0.003","0.003","0.021","0.0016","0.018","0.025","0.2","0.0171","0.168","0.235","816000","N/A","64000"
"2 - Income Up to 2X Fed Pov Thresh","AL","0.004","0.0002","0.003","0.004","0.018","0.0012","0.016","0.021","0.24","0.017","0.208","0.275","980000","N/A","63000"
"3 - Income More Than 2X Fed Pov Thresh","AL","0.008","0.0007","0.007","0.01","0.013","0.001","0.011","0.015","0.561","0.0257","0.51","0.61","2291000","N/A","188000"
"Overall","AR","0.009","0.0003","0.008","0.01","0.009","0.0003","0.008","0.01","1","0","N/A","N/A","2499000","N/A","93000"
"1 - Living in Poverty","AR","0.002","0.0001","0.001","0.002","0.011","0.0009","0.01","0.013","0.174","0.0138","0.149","0.203","436000","N/A","35000"
"2 - Income Up to 2X Fed Pov Thresh","AR","0.002","0.0002","0.002","0.003","0.012","0.0008","0.01","0.013","0.252","0.0154","0.223","0.283","629000","N/A","45000"
