"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","280926000","N/A","3041000"
"1 - Yes","Overall","0.201","0.0029","0.195","0.207","1","0","N/A","N/A","0.201","0.0029","0.195","0.207","56491000","N/A","1027000"
"2 - No","Overall","0.765","0.003","0.759","0.771","1","0","N/A","N/A","0.765","0.003","0.759","0.771","214822000","N/A","2516000"
"85 - BAD DATA Logically assigned","Overall","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","347000","N/A","65000"
"94 - DON T KNOW","Overall","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","0.004","0.0003","0.004","0.005","1149000","N/A","87000"
"97 - REFUSED","Overall","0.001","0.0001","0.001","0.001","1","0","N/A","N/A","0.001","0.0001","0.001","0.001","242000","N/A","37000"
"98 - BLANK","Overall","0.028","0.0009","0.026","0.03","1","0","N/A","N/A","0.028","0.0009","0.026","0.03","7874000","N/A","257000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","586000","N/A","40000"
"1 - Yes","AK","0","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.238","0.0235","0.195","0.287","139000","N/A","16000"
"2 - No","AK","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.716","0.0238","0.667","0.76","420000","N/A","34000"
"85 - BAD DATA Logically assigned","AK","0","0","0","0","0.001","0.0009","0","0.007","0.001","0.0005","0","0.004","0","N/A","0"
"94 - DON T KNOW","AK","0","0","0","0","0.004","0.0012","0.002","0.007","0.008","0.0022","0.004","0.013","4000","N/A","1000"
"97 - REFUSED","AK","0","0","0","0","0.004","0.0029","0.001","0.016","0.002","0.0012","0","0.006","1000","N/A","1000"
"98 - BLANK","AK","0","0","0","0","0.003","0.0006","0.002","0.004","0.037","0.0082","0.024","0.057","22000","N/A","5000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4260000","N/A","214000"
"1 - Yes","AL","0.003","0.0003","0.002","0.003","0.014","0.0013","0.012","0.017","0.189","0.0152","0.161","0.22","803000","N/A","72000"
"2 - No","AL","0.012","0.0007","0.011","0.013","0.016","0.0009","0.014","0.017","0.786","0.0143","0.757","0.813","3350000","N/A","187000"
"85 - BAD DATA Logically assigned","AL","0","0","0","0","0.007","0.0052","0.002","0.03","0.001","0.0004","0","0.002","2000","N/A","2000"
