"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","282732000","N/A","2772000"
"1 - 18-25 Years Old","Overall","0.122","0.0016","0.119","0.125","1","0","N/A","N/A","0.122","0.0016","0.119","0.125","34410000","N/A","505000"
"2 - 26-34 Years Old","Overall","0.142","0.0019","0.139","0.146","1","0","N/A","N/A","0.142","0.0019","0.139","0.146","40232000","N/A","645000"
"3 - 35-49 Years Old","Overall","0.222","0.002","0.218","0.226","1","0","N/A","N/A","0.222","0.002","0.218","0.226","62801000","N/A","849000"
"4 - 50 or Older","Overall","0.423","0.0033","0.416","0.429","1","0","N/A","N/A","0.423","0.0033","0.416","0.429","119469000","N/A","1584000"
"5 - 12-17 Years Old","Overall","0.091","0.0011","0.089","0.094","1","0","N/A","N/A","0.091","0.0011","0.089","0.094","25820000","N/A","406000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","587000","N/A","47000"
"1 - 18-25 Years Old","AK","0","0","0","0","0.002","0.0002","0.002","0.002","0.112","0.0094","0.095","0.132","66000","N/A","6000"
"2 - 26-34 Years Old","AK","0","0","0","0","0.002","0.0003","0.002","0.003","0.158","0.0142","0.132","0.188","93000","N/A","10000"
"3 - 35-49 Years Old","AK","0","0","0","0.001","0.002","0.0002","0.002","0.003","0.239","0.017","0.207","0.273","140000","N/A","13000"
"4 - 50 or Older","AK","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.391","0.0244","0.344","0.44","230000","N/A","27000"
"5 - 12-17 Years Old","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.1","0.0074","0.087","0.116","59000","N/A","6000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4288000","N/A","223000"
"1 - 18-25 Years Old","AL","0.002","0.0002","0.002","0.002","0.016","0.0014","0.013","0.019","0.126","0.0119","0.104","0.151","539000","N/A","50000"
"2 - 26-34 Years Old","AL","0.002","0.0002","0.002","0.002","0.014","0.0012","0.012","0.017","0.135","0.0099","0.117","0.156","579000","N/A","49000"
"3 - 35-49 Years Old","AL","0.003","0.0002","0.003","0.004","0.014","0.0011","0.012","0.017","0.211","0.0105","0.191","0.232","905000","N/A","67000"
"4 - 50 or Older","AL","0.007","0.0005","0.006","0.008","0.016","0.0012","0.014","0.018","0.436","0.0172","0.402","0.47","1869000","N/A","138000"
"5 - 12-17 Years Old","AL","0.001","0.0001","0.001","0.002","0.015","0.0013","0.013","0.018","0.092","0.0068","0.08","0.106","395000","N/A","34000"
"Overall","AR","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2553000","N/A","151000"
"1 - 18-25 Years Old","AR","0.001","0.0001","0.001","0.001","0.009","0.0009","0.008","0.011","0.126","0.012","0.104","0.151","321000","N/A","30000"
"2 - 26-34 Years Old","AR","0.001","0.0001","0.001","0.002","0.009","0.0009","0.007","0.011","0.137","0.0113","0.116","0.16","349000","N/A","36000"
"3 - 35-49 Years Old","AR","0.002","0.0002","0.002","0.002","0.009","0.0008","0.007","0.011","0.215","0.0174","0.183","0.252","550000","N/A","53000"
"4 - 50 or Older","AR","0.004","0.0004","0.003","0.005","0.009","0.001","0.007","0.011","0.425","0.0329","0.362","0.491","1085000","N/A","117000"
