"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","274487000","N/A","1650000"
"0 - Did not misuse in the past year","Overall","0.964","0.0008","0.963","0.966","1","0","N/A","N/A","0.964","0.0008","0.963","0.966","264651000","N/A","1612000"
"1 - Misused within the past year","Overall","0.036","0.0008","0.034","0.037","1","0","N/A","N/A","0.036","0.0008","0.034","0.037","9836000","N/A","216000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","585000","N/A","20000"
"0 - Did not misuse in the past year","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.958","0.0051","0.947","0.967","560000","N/A","18000"
"1 - Misused within the past year","AK","0","0","0","0","0.003","0.0003","0.002","0.003","0.042","0.0051","0.033","0.053","25000","N/A","3000"
"Overall","AL","0.015","0.0007","0.014","0.016","0.015","0.0007","0.014","0.016","1","0","N/A","N/A","4101000","N/A","183000"
"0 - Did not misuse in the past year","AL","0.014","0.0006","0.013","0.015","0.015","0.0006","0.013","0.016","0.947","0.008","0.928","0.96","3882000","N/A","170000"
"1 - Misused within the past year","AL","0.001","0.0001","0.001","0.001","0.022","0.0036","0.016","0.031","0.053","0.008","0.04","0.072","219000","N/A","36000"
"Overall","AR","0.009","0.0003","0.008","0.01","0.009","0.0003","0.008","0.01","1","0","N/A","N/A","2499000","N/A","93000"
"0 - Did not misuse in the past year","AR","0.009","0.0003","0.008","0.009","0.009","0.0004","0.008","0.01","0.965","0.0051","0.954","0.974","2412000","N/A","95000"
"1 - Misused within the past year","AR","0","0","0","0","0.009","0.0012","0.007","0.012","0.035","0.0051","0.026","0.046","87000","N/A","12000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6042000","N/A","425000"
"0 - Did not misuse in the past year","AZ","0.021","0.0015","0.018","0.024","0.022","0.0015","0.019","0.025","0.96","0.0044","0.95","0.968","5800000","N/A","412000"
"1 - Misused within the past year","AZ","0.001","0.0001","0.001","0.001","0.025","0.003","0.019","0.031","0.04","0.0044","0.032","0.05","242000","N/A","30000"
"Overall","CA","0.121","0.0023","0.116","0.125","0.121","0.0023","0.116","0.125","1","0","N/A","N/A","33110000","N/A","679000"
